	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
Алгебра	4,4	4	3,9	2,6	3,1	2,9	4,4	4,1	4,7	3	4,1	4,1	4,6	2,9	3,8	2,8	3,5	4,2	3,7	4,7	3,1	3,4	3	3,4	3,4	3,9	2,5	4,7	2,9	3,2	3,5	3,4	2,7	2,5
Геометрия	3,5	3,4	3,5	3,4	2,9	3,7	3,7	3,5	2,7	3,7	2,6	4,5	4	3,6	4,7	4	4,4	4,3	2,9	4,8	4,3	2,8	3,5	3,5	4,8	2,8	4,6	3,8	2,9	3,1	3,9	2,9	4,8	3,6
География	3,2	3,5	3,4	4	3,4	4,3	2,7	4,2	4,8	4,6	2,8	4,5	2,6	3,9	3,4	4,2	3,1	3,4	3,8	2,5	3,1	4,8	3,1	5	3,8	3,9	4,8	2,5	4	4	4,6	3,3	4,5	2,6
Русския_язык	3	2,7	3,5	4	3,8	2,7	3,4	4,9	5	4,9	2,5	2,6	3,4	4,4	4,1	3	4,5	4,7	3,1	3,2	3,5	3	4,5	3,9	5	4,4	4,8	3,3	2,7	2,9	4,5	3	3,9	4,8
Английский_язык	3,8	3,6	2,8	4,7	4,1	3,1	3	4,3	4	3,4	4,4	3,3	4,1	3,6	4,6	3,5	3,1	4,9	3,8	3,7	4,1	3,3	2,7	3,8	4,8	4,4	3,2	3,2	4,1	4,3	4,5	2,6	4,7	2,5
Немецкий_язык	4,3	3,4	4,4	3,1	3,1	2,8	4,3	4,8	2,5	4,6	3,1	4,3	2,7	3,6	4,3	3,4	4,9	2,5	4,9	2,9	5	4,6	4,1	3,1	2,8	4,1	4,4	2,8	3,2	5	3,9	3	4,8	5
Физика	3,8	3	2,8	4,7	2,5	4,1	3,4	3	3,2	4,9	3,1	2,9	4,2	2,6	3,1	4,8	3,3	3,5	4,2	3,7	4,3	3,8	2,9	4,9	4,4	4,4	3	4,7	3	2,9	3,2	2,5	2,7	2,5
Химия	3,2	3,8	3,4	3,4	4,1	4,4	4,9	3,6	4	2,9	3,7	3,2	3,2	4,8	2,8	3,3	3	3,2	4,5	3,6	4	3,8	3,4	3,7	5	3,1	3,1	3,6	2,5	2,9	4,2	3,5	2,5	2,8
Биология	4,9	4,4	4,3	3	3,6	4,6	3,8	4,5	3,4	4,3	4,5	3,6	2,8	4,6	4,2	2,6	2,7	2,8	4,3	2,7	3,2	4,3	4,4	4,2	3,4	2,5	3,6	5	2,5	3	2,7	3,9	3	4,3
ОБЖ	3,4	2,6	3,5	3,1	4,1	4	3,9	2,9	2,7	4,7	3,1	3,7	4,3	4,1	4,6	3,3	3,4	2,5	3,7	2,8	3,5	4,7	2,5	4,9	2,7	2,8	4,8	4,3	3,5	3	4,3	3,1	4,6	3,8
Обществознание	2,6	2,7	3	5	2,6	2,9	3,5	3,8	3,3	3,5	4,8	3,2	3,3	4	3,2	4,6	4,1	4,3	3,3	3,6	3,8	3	3,6	5	4,1	4,8	3,8	4,3	3,2	5	4,2	4	3,5	3,3
Физическая_культура	3	3,7	2,7	4,1	4,1	2,9	4,5	4,5	2,6	2,8	5	4,9	4,6	5	3,5	2,9	3,4	3,3	2,9	4,7	2,5	3,8	2,6	2,5	4,5	2,8	4,5	4,6	4,4	3,4	3,8	4,8	4,6	4,1
Информатика	3,5	4,6	4,9	4	3,3	2,7	2,5	3,5	3,3	4,5	4,6	4,1	3,7	4,3	3,1	2,7	2,8	3,6	4,4	4	3,7	3	3,3	4,8	3	5	2,5	4,7	4,4	2,8	3	4,8	4,4	3,7
История	2,8	3,3	4	2,7	4	3,5	3,5	4,4	4,2	3,5	5	2,8	4,1	2,8	3	4,5	2,9	3,1	4,5	3,3	2,8	4,9	3,4	3,3	4,2	2,8	4	3,1	3,7	4,4	2,5	3,1	3,3	2,5
Литература	3	4,4	4	3	3,2	4,4	2,5	4,8	2,9	2,5	4,2	4,7	2,8	4,7	3,9	4,4	2,8	2,5	4,4	4,6	4,6	2,7	4,2	2,8	4,7	4,6	5	3,3	4,5	2,6	2,9	2,6	3,5	3,5
